epoch,train_loss,test_losstrain_acc,test_acc
1,2.1179652214050293,2.1185121536254883,0.46035999059677124,0.45190000534057617
2,1.2211040258407593,1.539524793624878,0.6533399820327759,0.5817000269889832
3,0.9646074175834656,1.3693170547485352,0.7202000021934509,0.6240000128746033
4,0.7960678339004517,1.2740410566329956,0.7651000022888184,0.656000018119812
5,0.6662823557853699,1.1958929300308228,0.8000400066375732,0.6725999712944031
6,0.56891268491745,1.2658616304397583,0.826960027217865,0.6642000079154968
7,0.49265754222869873,1.3207544088363647,0.8462799787521362,0.6643999814987183
8,0.42693305015563965,1.1488131284713745,0.8672400116920471,0.7006999850273132
9,0.36795151233673096,1.272994875907898,0.8853999972343445,0.6827999949455261
10,0.31789708137512207,1.227233648300171,0.8985400199890137,0.7001000046730042
11,0.2803412079811096,1.1956260204315186,0.911899983882904,0.708899974822998
12,0.26125141978263855,1.4296057224273682,0.9161400198936462,0.6656000018119812
13,0.19970886409282684,1.2230488061904907,0.9352800250053406,0.7107999920845032
14,0.16531796753406525,1.284851312637329,0.9457799792289734,0.7135000228881836
15,0.16299302875995636,1.307334542274475,0.9472200274467468,0.6998000144958496
16,0.16524292528629303,1.3091357946395874,0.9483000040054321,0.7110000252723694
17,0.12389706075191498,1.19447922706604,0.9601399898529053,0.7378000020980835
18,0.10483516752719879,1.2672553062438965,0.9667800068855286,0.7240999937057495
19,0.10718800872564316,1.2960973978042603,0.9659799933433533,0.7224000096321106
20,0.10280366986989975,1.5739649534225464,0.9668200016021729,0.6970999836921692
21,0.0871373638510704,1.3954275846481323,0.9724000096321106,0.723800003528595
22,0.08112561702728271,1.2652591466903687,0.9738199710845947,0.7389000058174133
23,0.07359053194522858,1.29568350315094,0.976580023765564,0.7339000105857849
24,0.07219791412353516,1.3540676832199097,0.9776600003242493,0.7383999824523926
25,0.06205921992659569,1.3084375858306885,0.9808400273323059,0.7416999936103821
26,0.05530036985874176,1.3108625411987305,0.9820399880409241,0.7462999820709229
27,0.06032386049628258,1.29568612575531,0.9810000061988831,0.742900013923645
28,0.061778467148542404,1.3430424928665161,0.9802799820899963,0.7373999953269958
29,0.05578169599175453,1.379783272743225,0.9818400144577026,0.741100013256073
30,0.04463144391775131,1.3164795637130737,0.9864199757575989,0.7488999962806702
31,0.042686015367507935,1.371493935585022,0.9871199727058411,0.7418000102043152
32,0.04494494944810867,1.3869707584381104,0.9855599999427795,0.7401999831199646
33,0.041344139724969864,1.3265736103057861,0.9871600270271301,0.7522000074386597
34,0.029971178621053696,1.3391526937484741,0.9903600215911865,0.7476000189781189
