epoch,lr,train_loss,test_acc
1,1e-05,4.16015625,0.6103125
2,5.9e-05,2.1484375,0.695869140625
3,0.000108,1.5859375,0.70970703125
4,0.000157,1.3671875,0.7267578125
5,0.000206,1.251953125,0.7221875
6,0.000255,1.21484375,0.470517578125
7,0.000304,1.40625,0.611298828125
8,0.000353,1.30859375,0.3308056640625
9,0.000402,1.3486328125,0.26016845703125
10,0.000451,1.556640625,0.3495068359375
11,0.0005,2.369140625,0.5172900390625
12,0.0004993834667466257,1.703125,0.5411328125
13,0.0004975376681190276,1.4072265625,0.4193017578125
14,0.0004944739840795354,1.451171875,0.4756884765625
15,0.0004902113032590308,1.4892578125,0.4213818359375
16,0.0004847759065022574,1.66796875,0.32720703125
17,0.0004782013048376736,1.478515625,0.574365234375
18,0.00047052803287081843,1.29296875,0.652587890625
19,0.0004618033988749895,1.1943359375,0.630185546875
20,0.0004520811931200062,1.2265625,0.47322265625
21,0.0004414213562373095,1.2470703125,0.597001953125
22,0.0004298896096660367,1.2529296875,0.678212890625
23,0.00041755705045849463,1.06640625,0.5755029296875
24,0.0004044997129431898,0.99169921875,0.734287109375
25,0.00039079809994790936,0.9228515625,0.693115234375
26,0.000376536686473018,0.88818359375,0.72732421875
27,0.0003618033988749895,0.8779296875,0.738291015625
28,0.00034668907277118113,0.82958984375,0.724267578125
29,0.0003312868930080462,0.9658203125,0.6675
30,0.000315691819145569,0.8740234375,0.718798828125
31,0.00030000000000000003,0.830078125,0.705302734375
32,0.00028430818085443103,0.8095703125,0.757177734375
33,0.0002687131069919538,0.8486328125,0.736201171875
34,0.000253310927228819,0.78564453125,0.758330078125
35,0.00023819660112501053,0.75341796875,0.762392578125
36,0.00022346331352698207,0.73388671875,0.738408203125
37,0.00020920190005209064,0.728515625,0.7448828125
38,0.00019550028705681027,0.69970703125,0.7641015625
39,0.0001824429495415054,0.69140625,0.750751953125
40,0.0001701103903339633,0.69287109375,0.74650390625
41,0.00015857864376269052,0.69091796875,0.770380859375
42,0.0001479188068799938,0.6689453125,0.77033203125
43,0.00013819660112501054,0.662109375,0.783193359375
44,0.00012947196712918157,0.65234375,0.78220703125
45,0.00012179869516232644,0.68603515625,0.767216796875
46,0.00011522409349774266,0.6416015625,0.787890625
47,0.0001097886967409693,0.634765625,0.785634765625
48,0.0001055260159204647,0.626953125,0.781650390625
49,0.00010246233188097247,0.6201171875,0.770283203125
50,0.00010061653325337441,0.6171875,0.7751953125
51,0.0001,0.6181640625,0.79095703125
52,9.999451708687114e-05,0.61962890625,0.5689892578125
53,9.997807075247147e-05,0.6796875,0.780283203125
54,9.99506682107068e-05,0.62158203125,0.78916015625
55,9.991232148123761e-05,0.61376953125,0.79138671875
56,9.986304738420683e-05,0.6044921875,0.790185546875
57,9.980286753286194e-05,0.60009765625,0.789853515625
58,9.973180832407472e-05,0.5966796875,0.790498046875
59,9.964990092676263e-05,0.5908203125,0.788466796875
60,9.955718126821723e-05,0.59912109375,0.783173828125
61,9.945369001834514e-05,0.5888671875,0.78869140625
62,9.933947257182902e-05,0.59375,0.787822265625
63,9.921457902821579e-05,0.587890625,0.785517578125
64,9.907906416994146e-05,0.5888671875,0.784501953125
65,9.893298743830168e-05,0.58251953125,0.790703125
66,9.877641290737885e-05,0.583984375,0.785478515625
67,9.860940925593703e-05,0.58056640625,0.7887109375
68,9.843204973729728e-05,0.57470703125,0.790078125
69,9.824441214720629e-05,0.57373046875,0.79015625
70,9.804657878971252e-05,0.56640625,0.78921875
71,9.783863644106502e-05,0.57275390625,0.791279296875
72,9.762067631165049e-05,0.56494140625,0.78888671875
73,9.739279400598533e-05,0.56591796875,0.78986328125
74,9.715508948078037e-05,0.57080078125,0.789873046875
75,9.690766700109659e-05,0.56494140625,0.794794921875
76,9.665063509461098e-05,0.5654296875,0.789375
77,9.638410650401267e-05,0.56298828125,0.79541015625
78,9.610819813755039e-05,0.556640625,0.79291015625
79,9.582303101775249e-05,0.55810546875,0.793388671875
80,9.552873022834261e-05,0.580078125,0.780908203125
81,9.52254248593737e-05,0.55908203125,0.79421875
82,9.491324795060492e-05,0.55615234375,0.794892578125
83,9.4592336433146e-05,0.55419921875,0.797294921875
84,9.426283106939474e-05,0.5537109375,0.789658203125
85,9.392487639129392e-05,0.55224609375,0.79287109375
86,9.357862063693486e-05,0.57373046875,0.738427734375
87,9.32242156855353e-05,0.5625,0.789912109375
88,9.286181699082009e-05,0.5498046875,0.79580078125
89,9.249158351283414e-05,0.54833984375,0.797763671875
90,9.211367764821722e-05,0.5458984375,0.79779296875
91,9.172826515897145e-05,0.5380859375,0.7969921875
92,9.133551509975265e-05,0.53857421875,0.79509765625
93,9.093559974371725e-05,0.54541015625,0.79896484375
94,9.052869450695776e-05,0.53955078125,0.789580078125
95,9.011497787155939e-05,0.5615234375,0.7870703125
96,8.969463130731183e-05,0.54052734375,0.792685546875
97,8.92678391921108e-05,0.53662109375,0.799169921875
98,8.88347887310836e-05,0.53125,0.797490234375
99,8.839566987447491e-05,0.533203125,0.79494140625
100,8.795067523432826e-05,0.5302734375,0.794482421875
101,8.750000000000001e-05,0.53125,0.7957421875
102,8.704384185254289e-05,0.5302734375,0.796298828125
103,8.658240087799655e-05,0.5244140625,0.796552734375
104,8.611587947962319e-05,0.52783203125,0.7962890625
105,8.564448228912683e-05,0.52392578125,0.79369140625
106,8.516841607689502e-05,0.5244140625,0.79861328125
107,8.468788966130258e-05,0.52099609375,0.799072265625
108,8.420311381711695e-05,0.5283203125,0.79787109375
109,8.371430118304539e-05,0.5244140625,0.799814453125
110,8.322166616846458e-05,0.52197265625,0.79728515625
111,8.27254248593737e-05,0.52294921875,0.802724609375
112,8.222579492361179e-05,0.51953125,0.800419921875
113,8.172299551538164e-05,0.5576171875,0.789677734375
114,8.121724717912137e-05,0.53173828125,0.80560546875
115,8.07087717527664e-05,0.52197265625,0.800966796875
116,8.019779227044398e-05,0.51708984375,0.800791015625
117,7.968453286464312e-05,0.51123046875,0.798603515625
118,7.916921866790257e-05,0.513671875,0.801796875
119,7.86520757140603e-05,0.51025390625,0.80140625
120,7.813333083910761e-05,0.5068359375,0.80162109375
121,7.761321158169134e-05,0.50830078125,0.8030859375
122,7.70919460833079e-05,0.5087890625,0.802373046875
123,7.656976298823283e-05,0.5107421875,0.799970703125
124,7.604689134322999e-05,0.509765625,0.8003515625
125,7.552356049708393e-05,0.5078125,0.80046875
126,7.500000000000001e-05,0.50341796875,0.80431640625
127,7.447643950291609e-05,0.52294921875,0.79248046875
128,7.395310865677003e-05,0.51220703125,0.799912109375
129,7.343023701176717e-05,0.5078125,0.805771484375
130,7.290805391669212e-05,0.50244140625,0.80291015625
131,7.238678841830867e-05,0.50146484375,0.802421875
132,7.18666691608924e-05,0.50341796875,0.80650390625
133,7.134792428593972e-05,0.5,0.7977734375
134,7.083078133209745e-05,0.4990234375,0.800576171875
135,7.031546713535688e-05,0.49853515625,0.8012890625
136,6.980220772955602e-05,0.49853515625,0.802578125
137,6.929122824723361e-05,0.5009765625,0.8006640625
138,6.878275282087864e-05,0.50048828125,0.7990625
139,6.827700448461836e-05,0.4970703125,0.80109375
140,6.777420507638821e-05,0.494873046875,0.800185546875
141,6.727457514062632e-05,0.49658203125,0.80158203125
