epoch,lr,train_loss,train_acc,val_loss,test_acc
1,9.999999747378752e-05,4.807853698730469,0.01095999963581562,4.645621299743652,0.0142000000923872
2,9.999999747378752e-05,4.6650800704956055,0.01513999979943037,4.556045055389404,0.021299999207258224
3,9.999999747378752e-05,4.58184289932251,0.022099999710917473,4.48282527923584,0.03139999881386757
4,9.999999747378752e-05,4.4927077293396,0.033799998462200165,4.392908573150635,0.04399999976158142
5,9.999999747378752e-05,4.398077011108398,0.04490000009536743,4.2831196784973145,0.06859999895095825
6,9.999999747378752e-05,4.292427062988281,0.06270000338554382,4.169186115264893,0.09679999947547913
7,9.999999747378752e-05,4.178177833557129,0.0846799984574318,4.0386881828308105,0.12880000472068787
8,9.999999747378752e-05,4.048794746398926,0.10716000199317932,3.8991105556488037,0.15880000591278076
9,9.999999747378752e-05,3.9051597118377686,0.1333400011062622,3.745457410812378,0.1949000060558319
10,9.999999747378752e-05,3.756941318511963,0.1623000055551529,3.5855250358581543,0.23170000314712524
11,9.999999747378752e-05,3.5952675342559814,0.1950799971818924,3.4207847118377686,0.26899999380111694
12,9.999999747378752e-05,3.4321324825286865,0.2260800004005432,3.246054172515869,0.30869999527931213
13,9.999999747378752e-05,3.2627203464508057,0.25512000918388367,3.072709798812866,0.3402999937534332
14,9.999999747378752e-05,3.0951457023620605,0.28731998801231384,2.903191328048706,0.3709999918937683
15,9.999999747378752e-05,2.9347546100616455,0.3151800036430359,2.7379860877990723,0.4025999903678894
16,9.999999747378752e-05,2.78228759765625,0.3415200114250183,2.5870330333709717,0.435699999332428
17,9.999999747378752e-05,2.6411008834838867,0.3675999939441681,2.4437382221221924,0.46219998598098755
18,9.999999747378752e-05,2.503044366836548,0.39146000146865845,2.3105688095092773,0.48570001125335693
19,9.999999747378752e-05,2.37894344329834,0.4155200123786926,2.1909666061401367,0.507099986076355
20,9.999999747378752e-05,2.263232946395874,0.4374000132083893,2.0853240489959717,0.5263000130653381
21,9.999999747378752e-05,2.1653714179992676,0.4546799957752228,1.9864089488983154,0.5443999767303467
22,9.999999747378752e-05,2.078550338745117,0.47308000922203064,1.895389437675476,0.5575000047683716
23,9.999999747378752e-05,1.9854642152786255,0.4946399927139282,1.8154369592666626,0.5766000151634216
24,9.999999747378752e-05,1.912111759185791,0.5054799914360046,1.7451132535934448,0.5882999897003174
25,9.999999747378752e-05,1.8433287143707275,0.5192000269889832,1.6798315048217773,0.5968999862670898
26,9.999999747378752e-05,1.782355785369873,0.5369399785995483,1.6176203489303589,0.6121000051498413
27,9.999999747378752e-05,1.720747947692871,0.5484200119972229,1.5653668642044067,0.621399998664856
28,9.999999747378752e-05,1.6666653156280518,0.5608800053596497,1.5200196504592896,0.6288999915122986
29,9.999999747378752e-05,1.6135828495025635,0.5723000168800354,1.4728586673736572,0.6399999856948853
30,9.999999747378752e-05,1.5661019086837769,0.5827800035476685,1.427794337272644,0.6474999785423279
31,9.999999747378752e-05,1.5268281698226929,0.5899199843406677,1.394567608833313,0.6521000266075134
32,9.999999747378752e-05,1.4870785474777222,0.5984600186347961,1.3533425331115723,0.6593000292778015
33,9.999999747378752e-05,1.4498416185379028,0.6074399948120117,1.323110580444336,0.6680999994277954
34,9.999999747378752e-05,1.4106149673461914,0.6173400282859802,1.2920714616775513,0.671999990940094
35,9.999999747378752e-05,1.3844712972640991,0.6194199919700623,1.2608317136764526,0.6765999794006348
36,9.999999747378752e-05,1.3519701957702637,0.6273599863052368,1.2346712350845337,0.6804999709129333
37,9.999999747378752e-05,1.3242056369781494,0.6360999941825867,1.2098276615142822,0.6859999895095825
38,9.999999747378752e-05,1.2944436073303223,0.6413999795913696,1.1887640953063965,0.6879000067710876
39,9.999999747378752e-05,1.2679390907287598,0.6485000252723694,1.170348882675171,0.6930000185966492
40,9.999999747378752e-05,1.246638536453247,0.6551399827003479,1.1449170112609863,0.6995000243186951
41,9.999999747378752e-05,1.224373459815979,0.6602399945259094,1.1234618425369263,0.7050999999046326
42,9.999999747378752e-05,1.20430588722229,0.6623200178146362,1.1067150831222534,0.7070000171661377
43,9.999999747378752e-05,1.1823744773864746,0.6685199737548828,1.0922900438308716,0.7095000147819519
