epoch,lr,train_loss,train_acc,val_loss,test_acc
1,9.999999747378752e-05,4.832085132598877,0.01696000061929226,4.533431053161621,0.03180000185966492
2,9.999999747378752e-05,4.449525833129883,0.05130000039935112,4.167054176330566,0.10040000081062317
3,9.999999747378752e-05,4.056834697723389,0.11714000254869461,3.706824541091919,0.2037000060081482
4,9.999999747378752e-05,3.613151788711548,0.21087999641895294,3.218491315841675,0.3093999922275543
5,9.999999747378752e-05,3.1552913188934326,0.30197998881340027,2.69423508644104,0.4009999930858612
6,9.999999747378752e-05,2.721968412399292,0.3861599862575531,2.325615167617798,0.4803999960422516
7,9.999999747378752e-05,2.3460206985473633,0.457940012216568,1.9522398710250854,0.5426999926567078
8,9.999999747378752e-05,2.0269064903259277,0.5180400013923645,1.7102539539337158,0.5892999768257141
9,9.999999747378752e-05,1.7798328399658203,0.5636399984359741,1.5387251377105713,0.6118000149726868
10,9.999999747378752e-05,1.5785108804702759,0.6024199724197388,1.3698949813842773,0.6514999866485596
11,9.999999747378752e-05,1.4185240268707275,0.6309800148010254,1.2468791007995605,0.6739000082015991
12,9.999999747378752e-05,1.3042607307434082,0.6579399704933167,1.1692625284194946,0.6840999722480774
13,9.999999747378752e-05,1.2047165632247925,0.6769400238990784,1.1140438318252563,0.6990000009536743
14,9.999999747378752e-05,1.1231648921966553,0.6932200193405151,1.039311170578003,0.7157999873161316
15,9.999999747378752e-05,1.0568145513534546,0.7101600170135498,0.9932155013084412,0.7261000275611877
16,9.999999747378752e-05,1.0022944211959839,0.720579981803894,0.9728468656539917,0.7278000116348267
17,9.999999747378752e-05,0.9523688554763794,0.7331200242042542,0.9241475462913513,0.7407000064849854
18,9.999999747378752e-05,0.9004912376403809,0.743939995765686,0.8903288245201111,0.7470999956130981
19,9.999999747378752e-05,0.8630669713020325,0.7541000247001648,0.8710262775421143,0.7513999938964844
20,9.999999747378752e-05,0.823978066444397,0.7634000182151794,0.8496916890144348,0.760200023651123
21,9.000000136438757e-05,0.7964427471160889,0.7728999853134155,0.8621193170547485,0.7549999952316284
22,9.000000136438757e-05,0.7668049931526184,0.780239999294281,0.8143303990364075,0.7684999704360962
23,9.000000136438757e-05,0.7396959662437439,0.7847999930381775,0.7977029085159302,0.7728999853134155
24,8.099999831756577e-05,0.713232159614563,0.7925400137901306,0.8068732023239136,0.7702999711036682
25,8.099999831756577e-05,0.6911522746086121,0.7987800240516663,0.7705028057098389,0.7782999873161316
26,8.099999831756577e-05,0.6695910096168518,0.8054800033569336,0.7567946314811707,0.7824000120162964
27,8.099999831756577e-05,0.652785062789917,0.8090800046920776,0.7531545758247375,0.7850000262260437
28,8.099999831756577e-05,0.6354138851165771,0.8141400218009949,0.7427331805229187,0.7874000072479248
29,8.099999831756577e-05,0.6187589168548584,0.8181599974632263,0.7349569201469421,0.7849000096321106
30,8.099999831756577e-05,0.6017152070999146,0.8234999775886536,0.7243167161941528,0.7896999716758728
31,8.099999831756577e-05,0.5865042209625244,0.827019989490509,0.7204224467277527,0.7901999950408936
32,7.2900002123788e-05,0.5722420811653137,0.8327000141143799,0.7326784133911133,0.7878000140190125
33,7.2900002123788e-05,0.5579274296760559,0.8346800208091736,0.7073541283607483,0.7954999804496765
34,6.56100019114092e-05,0.5477695465087891,0.8351200222969055,0.7078545689582825,0.7949000000953674
35,6.56100019114092e-05,0.5352820158004761,0.8401399850845337,0.6946868896484375,0.79830002784729
36,5.904900172026828e-05,0.5257256627082825,0.8447200059890747,0.6980093121528625,0.7985000014305115
37,5.314410009304993e-05,0.5108848810195923,0.8481199741363525,0.6994673609733582,0.7979000210762024
38,5.314410009304993e-05,0.5067850947380066,0.8487600088119507,0.6890693306922913,0.8019000291824341
39,5.314410009304993e-05,0.49895867705345154,0.8505600094795227,0.6808091998100281,0.8027999997138977
40,5.314410009304993e-05,0.48892122507095337,0.8543599843978882,0.6794703602790833,0.8012999892234802
41,4.7829689719947055e-05,0.4829164743423462,0.8568199872970581,0.682878315448761,0.8015000224113464
42,4.7829689719947055e-05,0.47780758142471313,0.856220006942749,0.674018919467926,0.8037999868392944
43,4.3046718928962946e-05,0.46997135877609253,0.8595799803733826,0.6805424094200134,0.8011999726295471
44,3.874204776366241e-05,0.4620058536529541,0.8619400262832642,0.6744657754898071,0.803600013256073
45,3.874204776366241e-05,0.4596363604068756,0.8617200255393982,0.6696043014526367,0.8043000102043152
46,3.874204776366241e-05,0.45343485474586487,0.8633599877357483,0.6651356816291809,0.8061000108718872
47,3.4867844078689814e-05,0.4469859004020691,0.865559995174408,0.6694680452346802,0.805400013923645
48,3.4867844078689814e-05,0.4460529386997223,0.8658599853515625,0.6643432378768921,0.8062000274658203
49,3.138105967082083e-05,0.43724921345710754,0.8692600131034851,0.6660794615745544,0.8075000047683716
50,3.138105967082083e-05,0.4346241056919098,0.8683599829673767,0.6611918807029724,0.807699978351593
51,3.138105967082083e-05,0.43538495898246765,0.870419979095459,0.6594536304473877,0.8065000176429749
52,2.824295370373875e-05,0.4268576502799988,0.8718000054359436,0.6599597930908203,0.8087999820709229
53,2.824295370373875e-05,0.4235180914402008,0.8726999759674072,0.6573507189750671,0.8087000250816345
54,2.5418657969566993e-05,0.4188305735588074,0.8738800287246704,0.6621602773666382,0.8065999746322632
55,2.5418657969566993e-05,0.41426196694374084,0.8742200136184692,0.6566597819328308,0.8087000250816345
56,2.2876793082104996e-05,0.41509151458740234,0.8764200210571289,0.6566887497901917,0.8083000183105469
57,2.0589113773894496e-05,0.4120112359523773,0.8758400082588196,0.6565774083137512,0.8095999956130981
58,2.0589113773894496e-05,0.4103057384490967,0.8768200278282166,0.6524503231048584,0.8093000054359436
59,1.8530201487010345e-05,0.4033273160457611,0.8790000081062317,0.6548183560371399,0.8094000220298767
60,1.667718061071355e-05,0.4062980115413666,0.878059983253479,0.6529179811477661,0.8100000023841858
61,1.5009462913440075e-05,0.4024498462677002,0.8792999982833862,0.6526753902435303,0.8100000023841858
62,1.3508516531146597e-05,0.40302422642707825,0.8786399960517883,0.6534133553504944,0.8095999956130981
63,1.3508516531146597e-05,0.39753368496894836,0.8812400102615356,0.6522051095962524,0.8102999925613403
64,1.2157664968981408e-05,0.3983416259288788,0.8795199990272522,0.6526690721511841,0.8105000257492065
65,1.0941898835881148e-05,0.3922985792160034,0.881659984588623,0.654453456401825,0.8086000084877014
66,1.0941898835881148e-05,0.39233386516571045,0.8820400238037109,0.6513062715530396,0.8101000189781189
67,9.999999747378752e-06,0.3929518461227417,0.8821200132369995,0.6524820327758789,0.8097000122070312
68,9.999999747378752e-06,0.3876957297325134,0.8841000199317932,0.6518771052360535,0.8100000023841858
69,9.999999747378752e-06,0.3898376524448395,0.8820000290870667,0.651674211025238,0.8098999857902527
70,9.999999747378752e-06,0.3886595368385315,0.8834599852561951,0.6504791378974915,0.8115000128746033
71,9.999999747378752e-06,0.39053523540496826,0.8821799755096436,0.6523780226707458,0.8098999857902527
72,9.999999747378752e-06,0.38406920433044434,0.8848199844360352,0.6500111222267151,0.8108999729156494
73,9.999999747378752e-06,0.38822370767593384,0.883400022983551,0.651321291923523,0.8098999857902527
74,9.999999747378752e-06,0.3848073184490204,0.884440004825592,0.6504881978034973,0.8108999729156494
75,9.999999747378752e-06,0.3823367655277252,0.8836399912834167,0.6489466428756714,0.8112000226974487
76,9.999999747378752e-06,0.3830994963645935,0.8857200145721436,0.6504299640655518,0.8113999962806702
77,9.999999747378752e-06,0.3811390697956085,0.8847600221633911,0.6495437026023865,0.8111000061035156
78,9.999999747378752e-06,0.38274192810058594,0.883620023727417,0.6482312679290771,0.8115000128746033
79,9.999999747378752e-06,0.3792772591114044,0.8858000040054321,0.6487651467323303,0.8112000226974487
80,9.999999747378752e-06,0.3805299997329712,0.8846799731254578,0.6485387086868286,0.8108000159263611
81,9.999999747378752e-06,0.3747587502002716,0.8874199986457825,0.6486340165138245,0.8108999729156494
82,9.999999747378752e-06,0.3769185543060303,0.8865799903869629,0.6471005082130432,0.8111000061035156
83,9.999999747378752e-06,0.3797667920589447,0.8862599730491638,0.6499291658401489,0.8105999827384949
84,9.999999747378752e-06,0.3718845844268799,0.8884199857711792,0.6474080085754395,0.8119000196456909
85,9.999999747378752e-06,0.3731997311115265,0.8880800008773804,0.6484767198562622,0.8115000128746033
86,9.999999747378752e-06,0.3729614317417145,0.8877599835395813,0.6464471220970154,0.8113999962806702
87,9.999999747378752e-06,0.3710196912288666,0.8891599774360657,0.6468909382820129,0.8112999796867371
88,9.999999747378752e-06,0.3725162148475647,0.8871999979019165,0.6455371379852295,0.8120999932289124
89,9.999999747378752e-06,0.3705918490886688,0.8862199783325195,0.6474010944366455,0.8112000226974487
90,9.999999747378752e-06,0.37141549587249756,0.8872799873352051,0.6478019952774048,0.8115000128746033
91,9.999999747378752e-06,0.36675864458084106,0.888159990310669,0.6457217931747437,0.8123999834060669
92,9.999999747378752e-06,0.366657018661499,0.889680027961731,0.6469410061836243,0.8113999962806702
93,9.999999747378752e-06,0.3665713369846344,0.8890200257301331,0.6460229158401489,0.8115000128746033
94,9.999999747378752e-06,0.36241835355758667,0.891759991645813,0.6474961638450623,0.8109999895095825
95,9.999999747378752e-06,0.36633744835853577,0.889460027217865,0.6456753015518188,0.8116000294685364
96,9.999999747378752e-06,0.36423367261886597,0.8891800045967102,0.645854115486145,0.8120999932289124
97,9.999999747378752e-06,0.3634432554244995,0.8906999826431274,0.6458283066749573,0.8119999766349792
98,9.999999747378752e-06,0.3599984645843506,0.8914399743080139,0.6461134552955627,0.8115000128746033
99,9.999999747378752e-06,0.3631021976470947,0.8891000151634216,0.6453943252563477,0.8119000196456909
