epoch,lr,train_loss,test_acc
1,1e-05,5.1953125,0.6244140625
2,5.9e-05,3.419921875,0.714404296875
3,0.000108,2.572265625,0.738701171875
4,0.000157,2.279296875,0.73580078125
5,0.000206,2.12109375,0.7423046875
6,0.000255,2.03125,0.755712890625
7,0.000304,1.9638671875,0.731904296875
8,0.000353,1.9931640625,0.68921875
9,0.000402,2.013671875,0.4511083984375
10,0.000451,2.26953125,0.526171875
11,0.0005,2.0078125,0.64490234375
12,0.0004993834667466257,2.43359375,0.5617138671875
13,0.0004975376681190276,1.9296875,0.720224609375
14,0.0004944739840795354,1.7724609375,0.65087890625
15,0.0004902113032590308,1.6904296875,0.68291015625
16,0.0004847759065022574,1.892578125,0.629423828125
17,0.0004782013048376736,1.8076171875,0.71271484375
18,0.00047052803287081843,1.6279296875,0.744482421875
19,0.0004618033988749895,1.5361328125,0.744111328125
20,0.0004520811931200062,1.5810546875,0.764482421875
21,0.0004414213562373095,1.484375,0.7762109375
22,0.0004298896096660367,1.4931640625,0.754501953125
23,0.00041755705045849463,1.462890625,0.761201171875
24,0.0004044997129431898,1.4111328125,0.73880859375
25,0.00039079809994790936,1.384765625,0.72623046875
26,0.000376536686473018,1.3974609375,0.708525390625
27,0.0003618033988749895,1.345703125,0.7391015625
28,0.00034668907277118113,1.33984375,0.767763671875
29,0.0003312868930080462,1.30078125,0.54208984375
30,0.000315691819145569,1.3046875,0.7855078125
31,0.00030000000000000003,1.2373046875,0.77384765625
32,0.00028430818085443103,1.2080078125,0.79451171875
33,0.0002687131069919538,1.166015625,0.79720703125
34,0.000253310927228819,1.1650390625,0.81138671875
35,0.00023819660112501053,1.13671875,0.804990234375
36,0.00022346331352698207,1.16015625,0.802373046875
37,0.00020920190005209064,1.13671875,0.805322265625
38,0.00019550028705681027,1.1103515625,0.8051953125
39,0.0001824429495415054,1.0888671875,0.827431640625
40,0.0001701103903339633,1.0693359375,0.82572265625
41,0.00015857864376269052,1.0595703125,0.835615234375
42,0.0001479188068799938,1.0439453125,0.840126953125
43,0.00013819660112501054,1.0263671875,0.83451171875
44,0.00012947196712918157,1.0263671875,0.835615234375
45,0.00012179869516232644,1.0166015625,0.828095703125
46,0.00011522409349774266,1.013671875,0.82849609375
47,0.0001097886967409693,0.99658203125,0.84333984375
48,0.0001055260159204647,0.98193359375,0.83876953125
49,0.00010246233188097247,0.97021484375,0.8389453125
50,0.00010061653325337441,0.97412109375,0.840419921875
51,0.0001,0.9609375,0.83892578125
52,9.999451708687114e-05,0.9609375,0.844853515625
53,9.997807075247147e-05,0.95703125,0.842197265625
54,9.99506682107068e-05,0.9658203125,0.8444921875
55,9.991232148123761e-05,0.9775390625,0.845556640625
56,9.986304738420683e-05,0.96630859375,0.83701171875
57,9.980286753286194e-05,0.95458984375,0.8446484375
58,9.973180832407472e-05,0.95166015625,0.841044921875
59,9.964990092676263e-05,0.94775390625,0.840732421875
60,9.955718126821723e-05,0.95263671875,0.84591796875
61,9.945369001834514e-05,0.94189453125,0.843076171875
62,9.933947257182902e-05,0.9609375,0.84474609375
63,9.921457902821579e-05,0.95068359375,0.84130859375
64,9.907906416994146e-05,0.94189453125,0.843837890625
65,9.893298743830168e-05,0.93701171875,0.843330078125
66,9.877641290737885e-05,0.9384765625,0.841220703125
67,9.860940925593703e-05,0.93115234375,0.834716796875
68,9.843204973729728e-05,0.92529296875,0.8483984375
69,9.824441214720629e-05,0.9306640625,0.84771484375
70,9.804657878971252e-05,0.91552734375,0.848623046875
71,9.783863644106502e-05,0.92529296875,0.844208984375
72,9.762067631165049e-05,0.92333984375,0.84181640625
