epoch,lr,train_loss,test_acc
1,0.001,9.8125,0.0499005126953125
2,0.001,8.609375,0.1688134765625
3,0.001,7.09375,0.2698779296875
4,0.001,5.87890625,0.3298876953125
5,0.001,5.078125,0.357802734375
6,0.001,4.5703125,0.4059912109375
7,0.001,4.25,0.4291064453125
8,0.001,4.03515625,0.43779296875
9,0.001,3.849609375,0.4540087890625
10,0.001,3.71875,0.4808154296875
11,0.001,3.59375,0.470205078125
12,0.001,3.451171875,0.5040576171875
13,0.001,3.365234375,0.4875146484375
14,0.001,3.3046875,0.4985791015625
15,0.001,3.19921875,0.5047802734375
16,0.001,3.150390625,0.5302685546875
17,0.001,3.078125,0.5372705078125
18,0.001,3.033203125,0.5272900390625
19,0.001,2.97265625,0.540498046875
20,0.001,2.935546875,0.555263671875
21,0.001,2.900390625,0.55755859375
22,0.001,2.837890625,0.5436181640625
23,0.001,2.822265625,0.5489794921875
24,0.001,2.791015625,0.55146484375
25,0.001,2.724609375,0.5636083984375
26,0.001,2.712890625,0.5441064453125
27,0.001,2.6953125,0.56587890625
28,0.001,2.662109375,0.5571044921875
29,0.001,2.638671875,0.55771484375
30,0.001,2.58984375,0.548515625
31,0.001,2.6015625,0.58341796875
32,0.001,2.52734375,0.560986328125
33,0.001,2.54296875,0.556494140625
34,0.001,2.53125,0.575703125
35,0.001,2.51171875,0.58484375
36,0.001,2.48046875,0.567412109375
37,0.001,2.482421875,0.586591796875
38,0.001,2.453125,0.5731298828125
39,0.001,2.439453125,0.57111328125
40,0.001,2.42578125,0.568837890625
41,0.001,2.41015625,0.5673046875
42,0.001,2.404296875,0.567958984375
43,0.001,2.376953125,0.58541015625
44,0.001,2.353515625,0.5651123046875
45,0.001,2.357421875,0.5650244140625
46,0.001,2.337890625,0.5627099609375
47,0.001,2.318359375,0.57568359375
48,0.001,2.32421875,0.5691259765625
49,0.001,2.30859375,0.5766015625
50,0.001,2.30078125,0.556298828125
51,0.001,2.27734375,0.591630859375
52,0.001,2.283203125,0.56763671875
53,0.001,2.263671875,0.57701171875
54,0.001,2.2734375,0.5684814453125
55,0.001,2.265625,0.5784033203125
56,0.001,2.2421875,0.56640625
57,0.001,2.236328125,0.5771826171875
58,0.001,2.208984375,0.59072265625
59,0.001,2.19921875,0.590009765625
60,0.001,2.20703125,0.56869140625
61,0.001,2.18359375,0.592158203125
62,0.001,2.1953125,0.5653125
63,0.001,2.162109375,0.583623046875
64,0.001,2.1875,0.59921875
65,0.001,2.1484375,0.5876171875
66,0.001,2.1640625,0.59041015625
67,0.001,2.1484375,0.59251953125
68,0.001,2.134765625,0.5654052734375
69,0.001,2.115234375,0.5598095703125
70,0.001,2.11328125,0.5661083984375
71,0.001,2.1328125,0.596708984375
72,0.001,2.10546875,0.584228515625
73,0.001,2.125,0.580419921875
74,0.001,2.09375,0.5969921875
75,0.001,2.0859375,0.602802734375
76,0.001,2.115234375,0.58388671875
77,0.001,2.08984375,0.5740234375
78,0.001,2.076171875,0.5898828125
79,0.001,2.083984375,0.594912109375
80,0.001,2.064453125,0.59064453125
81,0.001,2.06640625,0.582529296875
82,0.001,2.06640625,0.5781103515625
83,0.001,2.05078125,0.592509765625
84,0.001,2.0703125,0.587919921875
85,0.001,2.02734375,0.59390625
86,0.001,2.033203125,0.587958984375
87,0.001,2.033203125,0.58373046875
88,0.001,2.0390625,0.586884765625
89,0.001,2.044921875,0.595693359375
90,0.001,2.015625,0.599013671875
91,0.001,2.0,0.590830078125
92,0.001,2.0,0.582685546875
93,0.001,2.013671875,0.595224609375
94,0.001,2.01171875,0.60322265625
95,0.001,1.9970703125,0.579482421875
96,0.001,2.015625,0.597998046875
97,0.001,1.9853515625,0.589716796875
98,0.001,1.9921875,0.586904296875
99,0.001,2.0078125,0.596220703125
100,0.001,1.970703125,0.587392578125
101,0.001,1.9658203125,0.60140625
102,0.001,1.9697265625,0.585576171875
103,0.001,1.96484375,0.5715234375
104,0.001,1.958984375,0.579990234375
105,0.001,1.9775390625,0.58
